run_id,seed,mode,agent,shift_delta,pre_shift_mae,post_shift_mae,post_shift_aue,adaptation_time,action_counts,stabilize_fraction_post_shift,replay_hash,pass_fail,failure_reason
random_action-action_null-d4.0-s27,27,action_null,random_action,4.0,1.217475161864547,2.4930282826591186,623.2570706647797,54.0,"{""observe"": 193, ""destabilize"": 219, ""stabilize"": 188}",0.348,1d0e8dbe27dc77e9e2c100e8b5c59d24fdb6c49e8046414df625d7c56a2ed21d,n/a,
causal_learned-interventional-d4.0-s28,28,interventional,causal_learned,4.0,1.025264745997041,1.5247692220595048,381.1923055148762,96.0,"{""observe"": 330, ""stabilize"": 270}",0.672,ce8606aaf67b91d40c1d6d25bb6874f384301bfa37e4a5bf3ebf7898fd755f64,n/a,
no_action-interventional-d4.0-s28,28,interventional,no_action,4.0,1.1468977731198795,2.483045613581471,620.7614033953678,0.0,"{""observe"": 600}",0.0,fd84625c4f75b0743fc326f8510f895f128d19409023cabb674cfd8232e7d71e,n/a,
random_action-interventional-d4.0-s28,28,interventional,random_action,4.0,1.401900522177868,2.8295011602280864,707.3752900570216,0.0,"{""stabilize"": 193, ""destabilize"": 223, ""observe"": 184}",0.348,154b6f39f13b959c1cdb26c5a5a5255415c46b5443e190466f32c7de6dbbf65e,n/a,
causal_learned-action_null-d4.0-s28,28,action_null,causal_learned,4.0,1.1468977731198795,2.483045613581471,620.7614033953678,0.0,"{""observe"": 379, ""stabilize"": 221}",0.476,fd84625c4f75b0743fc326f8510f895f128d19409023cabb674cfd8232e7d71e,n/a,
no_action-action_null-d4.0-s28,28,action_null,no_action,4.0,1.1468977731198795,2.483045613581471,620.7614033953678,0.0,"{""observe"": 600}",0.0,fd84625c4f75b0743fc326f8510f895f128d19409023cabb674cfd8232e7d71e,n/a,
random_action-action_null-d4.0-s28,28,action_null,random_action,4.0,1.1468977731198795,2.483045613581471,620.7614033953678,0.0,"{""stabilize"": 193, ""destabilize"": 223, ""observe"": 184}",0.348,fd84625c4f75b0743fc326f8510f895f128d19409023cabb674cfd8232e7d71e,n/a,
causal_learned-interventional-d4.0-s29,29,interventional,causal_learned,4.0,1.1875911362859297,1.3685253789044727,342.1313447261182,13.0,"{""observe"": 349, ""stabilize"": 251}",0.752,5354cd6f0e93506aa1669fbb248efb016e5e4d3fd8bd2d9d47653cf85d97b33b,n/a,
no_action-interventional-d4.0-s29,29,interventional,no_action,4.0,1.1996428836320157,2.578333625765012,644.583406441253,229.0,"{""observe"": 600}",0.0,763180c26c0925c65a68f4e6ea9e0185e74be552c770f631a63b45d939637df5,n/a,
random_action-interventional-d4.0-s29,29,interventional,random_action,4.0,1.2789390355547572,2.3132488525329937,578.3122131332484,69.0,"{""destabilize"": 189, ""observe"": 188, ""stabilize"": 223}",0.38,aeee9b1ff37d3d15afe5bffaf5745435f5943ba19576576c8cf364bde6695626,n/a,
causal_learned-action_null-d4.0-s29,29,action_null,causal_learned,4.0,1.1996428836320157,2.578333625765012,644.583406441253,229.0,"{""observe"": 472, ""stabilize"": 128}",0.392,763180c26c0925c65a68f4e6ea9e0185e74be552c770f631a63b45d939637df5,n/a,
no_action-action_null-d4.0-s29,29,action_null,no_action,4.0,1.1996428836320157,2.578333625765012,644.583406441253,229.0,"{""observe"": 600}",0.0,763180c26c0925c65a68f4e6ea9e0185e74be552c770f631a63b45d939637df5,n/a,
random_action-action_null-d4.0-s29,29,action_null,random_action,4.0,1.1996428836320157,2.578333625765012,644.583406441253,229.0,"{""destabilize"": 189, ""observe"": 188, ""stabilize"": 223}",0.38,763180c26c0925c65a68f4e6ea9e0185e74be552c770f631a63b45d939637df5,n/a,
causal_learned-interventional-d8.0-s0,0,interventional,causal_learned,8.0,1.2107742760005482,1.7690079539614543,442.25198849036354,20.0,"{""observe"": 403, ""stabilize"": 197}",0.58,375ef5b48cdcdcc6aaf7852c6f9225abf784241fe9fd3ff4ad70a205b3ec30e8,n/a,
no_action-interventional-d8.0-s0,0,interventional,no_action,8.0,1.2143632107716507,2.5045796033523757,626.1449008380939,34.0,"{""observe"": 600}",0.0,60adaab0b52791aba792193bed49aa986e2b6d3bcb4a515f02fae9840afa9845,n/a,
random_action-interventional-d8.0-s0,0,interventional,random_action,8.0,1.4320350094204168,3.520071403060174,880.0178507650435,33.0,"{""destabilize"": 223, ""stabilize"": 189, ""observe"": 188}",0.308,d65976763295e1af7a4444ccb0167661ecbd42d9aa5f283b2ab04f556a9c252e,n/a,
causal_learned-action_null-d8.0-s0,0,action_null,causal_learned,8.0,1.2143632107716507,2.5045796033523757,626.1449008380939,34.0,"{""observe"": 428, ""stabilize"": 172}",0.48,60adaab0b52791aba792193bed49aa986e2b6d3bcb4a515f02fae9840afa9845,n/a,
no_action-action_null-d8.0-s0,0,action_null,no_action,8.0,1.2143632107716507,2.5045796033523757,626.1449008380939,34.0,"{""observe"": 600}",0.0,60adaab0b52791aba792193bed49aa986e2b6d3bcb4a515f02fae9840afa9845,n/a,
random_action-action_null-d8.0-s0,0,action_null,random_action,8.0,1.2143632107716507,2.5045796033523757,626.1449008380939,34.0,"{""destabilize"": 223, ""stabilize"": 189, ""observe"": 188}",0.308,60adaab0b52791aba792193bed49aa986e2b6d3bcb4a515f02fae9840afa9845,n/a,
causal_learned-interventional-d8.0-s1,1,interventional,causal_learned,8.0,1.0391572659555766,1.5574442805024409,389.36107012561024,21.0,"{""observe"": 380, ""stabilize"": 220}",0.588,de636b6711f80cded48bf36e4975afc12a5d77b3704e54fd16edf62dcc9703a9,n/a,
no_action-interventional-d8.0-s1,1,interventional,no_action,8.0,1.1197485901074047,2.4762409463790074,619.0602365947518,137.0,"{""observe"": 600}",0.0,6872d29fe101a16b038b75ca5f2457996541c267698a056c4ff78ab9890fa717,n/a,
random_action-interventional-d8.0-s1,1,interventional,random_action,8.0,1.3213861095033645,2.5568619975395115,639.2154993848778,69.0,"{""stabilize"": 196, ""destabilize"": 210, ""observe"": 194}",0.348,b8baa5f225aaf7bcc6240703896ff1b49f1eb19449bbc7a95f31c0f2f17b7cb4,n/a,
